3480	CJK UNIFIED IDEOGRAPH-3480
3481	CJK UNIFIED IDEOGRAPH-3481
3482	CJK UNIFIED IDEOGRAPH-3482
3483	CJK UNIFIED IDEOGRAPH-3483
3484	CJK UNIFIED IDEOGRAPH-3484
3485	CJK UNIFIED IDEOGRAPH-3485
3486	CJK UNIFIED IDEOGRAPH-3486
3487	CJK UNIFIED IDEOGRAPH-3487
3488	CJK UNIFIED IDEOGRAPH-3488
3489	CJK UNIFIED IDEOGRAPH-3489
348A	CJK UNIFIED IDEOGRAPH-348A
348B	CJK UNIFIED IDEOGRAPH-348B
348C	CJK UNIFIED IDEOGRAPH-348C
348D	CJK UNIFIED IDEOGRAPH-348D
348E	CJK UNIFIED IDEOGRAPH-348E
348F	CJK UNIFIED IDEOGRAPH-348F
3490	CJK UNIFIED IDEOGRAPH-3490
3491	CJK UNIFIED IDEOGRAPH-3491
3492	CJK UNIFIED IDEOGRAPH-3492
3493	CJK UNIFIED IDEOGRAPH-3493
3494	CJK UNIFIED IDEOGRAPH-3494
3495	CJK UNIFIED IDEOGRAPH-3495
3496	CJK UNIFIED IDEOGRAPH-3496
3497	CJK UNIFIED IDEOGRAPH-3497
3498	CJK UNIFIED IDEOGRAPH-3498
3499	CJK UNIFIED IDEOGRAPH-3499
349A	CJK UNIFIED IDEOGRAPH-349A
349B	CJK UNIFIED IDEOGRAPH-349B
349C	CJK UNIFIED IDEOGRAPH-349C
349D	CJK UNIFIED IDEOGRAPH-349D
349E	CJK UNIFIED IDEOGRAPH-349E
349F	CJK UNIFIED IDEOGRAPH-349F
34A0	CJK UNIFIED IDEOGRAPH-34A0
34A1	CJK UNIFIED IDEOGRAPH-34A1
34A2	CJK UNIFIED IDEOGRAPH-34A2
34A3	CJK UNIFIED IDEOGRAPH-34A3
34A4	CJK UNIFIED IDEOGRAPH-34A4
34A5	CJK UNIFIED IDEOGRAPH-34A5
34A6	CJK UNIFIED IDEOGRAPH-34A6
34A7	CJK UNIFIED IDEOGRAPH-34A7
34A8	CJK UNIFIED IDEOGRAPH-34A8
34A9	CJK UNIFIED IDEOGRAPH-34A9
34AA	CJK UNIFIED IDEOGRAPH-34AA
34AB	CJK UNIFIED IDEOGRAPH-34AB
34AC	CJK UNIFIED IDEOGRAPH-34AC
34AD	CJK UNIFIED IDEOGRAPH-34AD
34AE	CJK UNIFIED IDEOGRAPH-34AE
34AF	CJK UNIFIED IDEOGRAPH-34AF
